IMS,UFID,Upstream_MH,Downstream_MH,Diameter_Inch,Length_Ft,WorkType,Method_Short,WorkTypeDetail,Other_WO_Description,GSM1,Diam_Category,Length_Category,Is_Inspection,Is_Structural,CIPP_Thickness_mm,PB_Liner_OD_in,Wall_Area_ft2
14879804,3456068,IA064049,IA064048,8,472,Pipe Bursting,Pipe Bursting,Install an 8.625 inch outside diameter polyethylene liner in the existing 8-inch sanitary sewer by method of pipe bursting,Remove Existing Liner,GSM_IA064049IA064048,"Small (≤8"")",Long (>300 ft),False,True,,8.625,164.8
14879805,3456070,IA064050,IA064049,8,239,Pipe Bursting,Pipe Bursting,Install an 8.625 inch outside diameter polyethylene liner in the existing 8-inch sanitary sewer by method of pipe bursting,Remove Existing Liner,GSM_IA064050IA064049,"Small (≤8"")",Medium (150–300 ft),False,True,,8.625,83.4
14879744,3456069,IA064051,IA064050,6,302,Pipe Bursting,Pipe Bursting,Install an 8.625 inch outside diameter polyethylene liner in the existing 6-inch sanitary sewer by method of pipe bursting,CTV; Remove Existing Liner,GSM_IA064051IA064050,"Small (≤8"")",Long (>300 ft),False,True,,8.625,59.3
14879742,3455958,IA064052,IA064051,6,39,Pipe Bursting,Pipe Bursting,Install an 8.625 inch outside diameter polyethylene liner in the existing 6-inch sanitary sewer by method of pipe bursting,CTV; Remove Existing Liner,GSM_IA064052IA064051,"Small (≤8"")",Short (<150 ft),False,True,,8.625,7.7
14879741,3455957,IA064053,IA064051,6,43,Pipe Bursting,Pipe Bursting,Install an 8.625 inch outside diameter polyethylene liner in the existing 6-inch sanitary sewer by method of pipe bursting,Remove Existing Liner,GSM_IA064053IA064051,"Small (≤8"")",Short (<150 ft),False,True,,8.625,8.4
14879809,3456060,IA064054,IA064047,8,244,Pipe Bursting,Pipe Bursting,Install an 8.625 inch outside diameter polyethylene liner in the existing 8-inch sanitary sewer by method of pipe bursting,CTV; Remove Existing Liner,GSM_IA064054IA064047,"Small (≤8"")",Medium (150–300 ft),False,True,,8.625,85.2
14879811,3456062,IA064055,IA064054,8,207,Pipe Bursting,Pipe Bursting,Install an 8.625 inch outside diameter polyethylene liner in the existing 8-inch sanitary sewer by method of pipe bursting,CTV; Remove Existing Liner,GSM_IA064055IA064054,"Small (≤8"")",Medium (150–300 ft),False,True,,8.625,72.3
14879810,3456061,IA064056,IA064055,8,217,Pipe Bursting,Pipe Bursting,Install an 8.625 inch outside diameter polyethylene liner in the existing 8-inch sanitary sewer by method of pipe bursting,,GSM_IA064056IA064055,"Small (≤8"")",Medium (150–300 ft),False,True,,8.625,75.7
14879751,3465375,IA064057,IA064056,6,194,Pipe Bursting,Pipe Bursting,Install an 8.625 inch outside diameter polyethylene liner in the existing 6-inch sanitary sewer by method of pipe bursting,,GSM_IA064057IA064056,"Small (≤8"")",Medium (150–300 ft),False,True,,8.625,38.1
14879746,3465294,IA064058,IA064057,6,58,Pipe Bursting,Pipe Bursting,Install an 8.625 inch outside diameter polyethylene liner in the existing 6-inch sanitary sewer by method of pipe bursting,CTV,GSM_IA064058IA064057,"Small (≤8"")",Short (<150 ft),False,True,,8.625,11.4
14879745,3465293,IA064059,IA064057,6,56,Pipe Bursting,Pipe Bursting,Install an 8.625 inch outside diameter polyethylene liner in the existing 6-inch sanitary sewer by method of pipe bursting,CTV,GSM_IA064059IA064057,"Small (≤8"")",Short (<150 ft),False,True,,8.625,11.0
14879952,3455985,IA064060,IA064047,12,299,Pipe Bursting,Pipe Bursting,Install an 12.75 inch outside diameter polyethylene liner in the existing 12-inch sanitary sewer by method of pipe bursting,CTV; Remove Existing Liner,GSM_IA064060IA064047,"Medium (10–15"")",Medium (150–300 ft),False,True,,12.75,234.8
14879812,3456063,IA064061,IA064060,8,455,Pipe Bursting,Pipe Bursting,Install an 8.625 inch outside diameter polyethylene liner in the existing 8-inch sanitary sewer by method of pipe bursting,Remove Existing Liner,GSM_IA064061IA064060,"Small (≤8"")",Long (>300 ft),False,True,,8.625,158.8
14879813,3456064,IA064062,IA064061,8,425,Pipe Bursting,Pipe Bursting,Install an 8.625 inch outside diameter polyethylene liner in the existing 8-inch sanitary sewer by method of pipe bursting,,GSM_IA064062IA064061,"Small (≤8"")",Long (>300 ft),False,True,,8.625,148.4
14879802,3456066,IA064063,IA064062,8,367,Pipe Bursting,Pipe Bursting,Install an 8.625 inch outside diameter polyethylene liner in the existing 8-inch sanitary sewer by method of pipe bursting,Remove Existing Liner,GSM_IA064063IA064062,"Small (≤8"")",Long (>300 ft),False,True,,8.625,128.1
14879801,3456065,IA064064,IA064063,8,231,Pipe Bursting,Pipe Bursting,Install an 8.625 inch outside diameter polyethylene liner in the existing 8-inch sanitary sewer by method of pipe bursting,Remove Existing Liner,GSM_IA064064IA064063,"Small (≤8"")",Medium (150–300 ft),False,True,,8.625,80.6
14879800,3455956,IA064065,IA064064,8,36,Pipe Bursting,Pipe Bursting,Install an 8.625 inch outside diameter polyethylene liner in the existing 8-inch sanitary sewer by method of pipe bursting,Remove Existing Liner,GSM_IA064065IA064064,"Small (≤8"")",Short (<150 ft),False,True,,8.625,12.6
14879799,3455955,IA064066,IA064064,8,43,Pipe Bursting,Pipe Bursting,Install an 8.625 inch outside diameter polyethylene liner in the existing 8-inch sanitary sewer by method of pipe bursting,Remove Existing Liner,GSM_IA064066IA064064,"Small (≤8"")",Short (<150 ft),False,True,,8.625,15.0
14879806,3456057,IA064067,IA064060,8,353,Pipe Bursting,Pipe Bursting,Install an 8.625 inch outside diameter polyethylene liner in the existing 8-inch sanitary sewer by method of pipe bursting,CTV; Remove Existing Liner,GSM_IA064067IA064060,"Small (≤8"")",Long (>300 ft),False,True,,8.625,123.2
14879808,3456059,IA064068,IA064067,8,427,Pipe Bursting,Pipe Bursting,Install an 8.625 inch outside diameter polyethylene liner in the existing 8-inch sanitary sewer by method of pipe bursting,CTV,GSM_IA064068IA064067,"Small (≤8"")",Long (>300 ft),False,True,,8.625,149.1
14879807,3456058,IA064069,IA064068,6,330,Pipe Bursting,Pipe Bursting,Install an 8.625 inch outside diameter polyethylene liner in the existing 6-inch sanitary sewer by method of pipe bursting,CTV,GSM_IA064069IA064068,"Small (≤8"")",Long (>300 ft),False,True,,8.625,64.8
14879743,4111076,IA064070,IA064011,6,57,Pipe Bursting,Pipe Bursting,Install an 8.625 inch outside diameter polyethylene liner in the existing 6-inch sanitary sewer by method of pipe bursting,,GSM_IA064070IA064011,"Small (≤8"")",Short (<150 ft),False,True,,8.625,11.2
14948088,3265717,NW144002,NW144001,8,117,Pipe Bursting,Pipe Bursting,Install an 8.625 inch outside diameter polyethylene liner in the existing 8-inch sanitary sewer by method of pipe bursting,CTV,GSM_NW144002NW144001,"Small (≤8"")",Short (<150 ft),False,True,,8.625,40.8
14948087,3265716,NW144003,NW144002,8,219,Pipe Bursting,Pipe Bursting,Install an 8.625 inch outside diameter polyethylene liner in the existing 8-inch sanitary sewer by method of pipe bursting,CTV,GSM_NW144003NW144002,"Small (≤8"")",Medium (150–300 ft),False,True,,8.625,76.4
14950134,7591858,NW144006,NW144006A,30,343,Cured-in-Place,CIPP Lining,Install 21.00-mm thick cured-in-place pipe (CIPP) in the existing 30-inch sanitary sewer by method of Cured-in-Place,CTV,GSM_NW144006NW144006A,"Large (≥18"")",Long (>300 ft),False,True,21.0,,1683.7
14950129,3265714,NW144007,NW144006,30,354,Cured-in-Place,CIPP Lining,Install 21.00-mm thick cured-in-place pipe (CIPP) in the existing 30-inch sanitary sewer by method of Cured-in-Place,CTV,GSM_NW144007NW144006,"Large (≥18"")",Long (>300 ft),False,True,21.0,,1737.7
14948091,3265781,NW144008,NW144007,8,24,Pipe Bursting,Pipe Bursting,Install an 8.625 inch outside diameter polyethylene liner in the existing 8-inch sanitary sewer by method of pipe bursting,,GSM_NW144008NW144007,"Small (≤8"")",Short (<150 ft),False,True,,8.625,8.4
14948090,3265780,NW144009,NW144008,8,293,Pipe Bursting,Pipe Bursting,Install an 8.625 inch outside diameter polyethylene liner in the existing 8-inch sanitary sewer by method of pipe bursting,,GSM_NW144009NW144008,"Small (≤8"")",Medium (150–300 ft),False,True,,8.625,102.3
14948101,7934276,NW144009A,NW144009,8,8,Pipe Bursting,Pipe Bursting,Install an 8.625 inch outside diameter polyethylene liner in the existing 8-inch sanitary sewer by method of pipe bursting,,GSM_NW144009ANW144009,"Small (≤8"")",Short (<150 ft),False,True,,8.625,2.8
14950096,7933906,NW144010,NW144009A,8,289,Point Repair,Point Repair,Perform point repair,CTV; See Note 9,GSM_NW144010NW144009A,"Small (≤8"")",Medium (150–300 ft),False,True,,,100.9
14948089,3265779,NW144016,NW144009,8,370,Pipe Bursting,Pipe Bursting,Install an 8.625 inch outside diameter polyethylene liner in the existing 8-inch sanitary sewer by method of pipe bursting,,GSM_NW144016NW144009,"Small (≤8"")",Long (>300 ft),False,True,,8.625,129.2
14949996,3265778,NW144022,NW144016,8,24,Pipe Bursting,Pipe Bursting,Install an 8.625 inch outside diameter polyethylene liner in the existing 8-inch sanitary sewer by method of pipe bursting,,GSM_NW144022NW144016,"Small (≤8"")",Short (<150 ft),False,True,,8.625,8.4
14948102,3265777,NW144023,NW144022,8,349,Pipe Bursting,Pipe Bursting,Install an 8.625 inch outside diameter polyethylene liner in the existing 8-inch sanitary sewer by method of pipe bursting,,GSM_NW144023NW144022,"Small (≤8"")",Long (>300 ft),False,True,,8.625,121.8
14949679,7854601,NW144023A,NW144022,8,50,Pipe Bursting,Pipe Bursting,Install an 8.625 inch outside diameter polyethylene liner in the existing 8-inch sanitary sewer by method of pipe bursting,CTV,GSM_NW144023ANW144022,"Small (≤8"")",Short (<150 ft),False,True,,8.625,17.5
14950137,3199474,NW144027,NW144007,30,333,Cured-in-Place,CIPP Lining,Install 21.00-mm thick cured-in-place pipe (CIPP) in the existing 30-inch sanitary sewer by method of Cured-in-Place,CTV,GSM_NW144027NW144007,"Large (≥18"")",Long (>300 ft),False,True,21.0,,1634.6
14950139,3199476,NW144028,NW144027,30,349,Cured-in-Place,CIPP Lining,Install 21.00-mm thick cured-in-place pipe (CIPP) in the existing 30-inch sanitary sewer by method of Cured-in-Place,CTV,GSM_NW144028NW144027,"Large (≥18"")",Long (>300 ft),False,True,21.0,,1713.1
14950138,3199475,NW144029,NW144028,30,300,Cured-in-Place,CIPP Lining,Install 21.00-mm thick cured-in-place pipe (CIPP) in the existing 30-inch sanitary sewer by method of Cured-in-Place,CTV,GSM_NW144029NW144028,"Large (≥18"")",Medium (150–300 ft),False,True,21.0,,1472.6
14950122,3199478,NW144030,NW144029,30,352,Cured-in-Place,CIPP Lining,Install 21.00-mm thick cured-in-place pipe (CIPP) in the existing 30-inch sanitary sewer by method of Cured-in-Place,CTV,GSM_NW144030NW144029,"Large (≥18"")",Long (>300 ft),False,True,21.0,,1727.9
14950121,3199477,NW144031,NW144030,30,271,Cured-in-Place,CIPP Lining,Install 21.00-mm thick cured-in-place pipe (CIPP) in the existing 30-inch sanitary sewer by method of Cured-in-Place,CTV,GSM_NW144031NW144030,"Large (≥18"")",Medium (150–300 ft),False,True,21.0,,1330.3
14948104,3199485,NW144032,NW144031,10,245,Pipe Bursting,Pipe Bursting,Install an 10.75 inch outside diameter polyethylene liner in the existing 10-inch sanitary sewer by method of pipe bursting,CTV,GSM_NW144032NW144031,"Medium (10–15"")",Medium (150–300 ft),False,True,,10.75,133.6
14948103,3199484,NW144033,NW144032,8,210,Pipe Bursting,Pipe Bursting,Install an 8.625 inch outside diameter polyethylene liner in the existing 8-inch sanitary sewer by method of pipe bursting,CTV,GSM_NW144033NW144032,"Small (≤8"")",Medium (150–300 ft),False,True,,8.625,73.3
14948585,3199522,NW144036,NW144035,8,257,Pipe Bursting,Pipe Bursting,Install an 8.625 inch outside diameter polyethylene liner in the existing 8-inch sanitary sewer by method of pipe bursting,,GSM_NW144036NW144035,"Small (≤8"")",Medium (150–300 ft),False,True,,8.625,89.7
14948105,3199486,NW144037,NW144032,8,16,Pipe Bursting,Pipe Bursting,Install an 8.625 inch outside diameter polyethylene liner in the existing 8-inch sanitary sewer by method of pipe bursting,CTV,GSM_NW144037NW144032,"Small (≤8"")",Short (<150 ft),False,True,,8.625,5.6
14948106,3199487,NW144038,NW144037,10,380,Pipe Bursting,Pipe Bursting,Install an 10.75 inch outside diameter polyethylene liner in the existing 10-inch sanitary sewer by method of pipe bursting,CTV,GSM_NW144038NW144037,"Medium (10–15"")",Long (>300 ft),False,True,,10.75,207.3
14948061,3199488,NW144039,NW144038,10,387,Pipe Bursting,Pipe Bursting,Install an 10.75 inch outside diameter polyethylene liner in the existing 10-inch sanitary sewer by method of pipe bursting,CTV,GSM_NW144039NW144038,"Medium (10–15"")",Long (>300 ft),False,True,,10.75,211.1
14948063,3199490,NW144040,NW144039,8,279,Pipe Bursting,Pipe Bursting,Install an 8.625 inch outside diameter polyethylene liner in the existing 8-inch sanitary sewer by method of pipe bursting,,GSM_NW144040NW144039,"Small (≤8"")",Medium (150–300 ft),False,True,,8.625,97.4
14948064,3199491,NW144041,NW144040,8,174,Pipe Bursting,Pipe Bursting,Install an 8.625 inch outside diameter polyethylene liner in the existing 8-inch sanitary sewer by method of pipe bursting,,GSM_NW144041NW144040,"Small (≤8"")",Medium (150–300 ft),False,True,,8.625,60.7
14948065,3199494,NW144042,NW144040,8,376,Pipe Bursting,Pipe Bursting,Install an 8.625 inch outside diameter polyethylene liner in the existing 8-inch sanitary sewer by method of pipe bursting,,GSM_NW144042NW144040,"Small (≤8"")",Long (>300 ft),False,True,,8.625,131.2
14948067,3199496,NW144043,NW144042,8,203,Pipe Bursting,Pipe Bursting,Install an 8.625 inch outside diameter polyethylene liner in the existing 8-inch sanitary sewer by method of pipe bursting,,GSM_NW144043NW144042,"Small (≤8"")",Medium (150–300 ft),False,True,,8.625,70.9
14948066,3199495,NW144044,NW144043,8,34,Pipe Bursting,Pipe Bursting,Install an 8.625 inch outside diameter polyethylene liner in the existing 8-inch sanitary sewer by method of pipe bursting,,GSM_NW144044NW144043,"Small (≤8"")",Short (<150 ft),False,True,,8.625,11.9
14948062,3199489,NW144045,NW144042,8,56,Pipe Bursting,Pipe Bursting,Install an 8.625 inch outside diameter polyethylene liner in the existing 8-inch sanitary sewer by method of pipe bursting,,GSM_NW144045NW144042,"Small (≤8"")",Short (<150 ft),False,True,,8.625,19.5
14950123,3199479,NW144046,NW144031,30,49,Cured-in-Place,CIPP Lining,Install 21.00-mm thick cured-in-place pipe (CIPP) in the existing 30-inch sanitary sewer by method of Cured-in-Place,CTV,GSM_NW144046NW144031,"Large (≥18"")",Short (<150 ft),False,True,21.0,,240.5
14950124,3199480,NW144047,NW144046,30,447,Cured-in-Place,CIPP Lining,Install 21.00-mm thick cured-in-place pipe (CIPP) in the existing 30-inch sanitary sewer by method of Cured-in-Place,,GSM_NW144047NW144046,"Large (≥18"")",Long (>300 ft),False,True,21.0,,2194.2
14950125,3199481,NW144048,NW144047,30,467,Cured-in-Place,CIPP Lining,Install 21.00-mm thick cured-in-place pipe (CIPP) in the existing 30-inch sanitary sewer by method of Cured-in-Place,,GSM_NW144048NW144047,"Large (≥18"")",Long (>300 ft),False,True,21.0,,2292.4
14950131,3197495,NW144049,NW144048,30,315,Cured-in-Place,CIPP Lining,Install 21.00-mm thick cured-in-place pipe (CIPP) in the existing 30-inch sanitary sewer by method of Cured-in-Place,,GSM_NW144049NW144048,"Large (≥18"")",Long (>300 ft),False,True,21.0,,1546.3
14950136,3197533,NW144051,NW144050,18,25,Cured-in-Place,CIPP Lining,Install 13.50-mm thick cured-in-place pipe (CIPP) in the existing 18-inch sanitary sewer by method of Cured-in-Place,CTV,GSM_NW144051NW144050,"Large (≥18"")",Short (<150 ft),False,True,13.5,,44.2
14951155,3197529,NW144053,NW144052,15,233,Cured-in-Place,CIPP Lining,Install 10.50-mm thick cured-in-place pipe (CIPP) in the existing 15-inch sanitary sewer by method of Cured-in-Place,CTV,GSM_NW144053NW144052,"Medium (10–15"")",Medium (150–300 ft),False,True,10.5,,285.9
14950133,7591827,NW144054,NW144055,30,11,Cured-in-Place,CIPP Lining,Install 21.00-mm thick cured-in-place pipe (CIPP) in the existing 30-inch sanitary sewer by method of Cured-in-Place,CTV,GSM_NW144054NW144055,"Large (≥18"")",Short (<150 ft),False,True,21.0,,54.0
14950132,3268287,NW144055,NW144054,21,219,Cured-in-Place,CIPP Lining,Install 15.00-mm thick cured-in-place pipe (CIPP) in the existing 21-inch sanitary sewer by method of Cured-in-Place,CTV,GSM_NW144055NW144054,"Large (≥18"")",Medium (150–300 ft),False,True,15.0,,526.8
14950130,3268286,NW144056,NW144055,21,235,Cured-in-Place,CIPP Lining,Install 15.00-mm thick cured-in-place pipe (CIPP) in the existing 21-inch sanitary sewer by method of Cured-in-Place,,GSM_NW144056NW144055,"Large (≥18"")",Medium (150–300 ft),False,True,15.0,,565.2
14950126,3201324,NW144057,NW144056,21,310,Cured-in-Place,CIPP Lining,Install 15.00-mm thick cured-in-place pipe (CIPP) in the existing 21-inch sanitary sewer by method of Cured-in-Place,,GSM_NW144057NW144056,"Large (≥18"")",Long (>300 ft),False,True,15.0,,745.6
14950128,3201326,NW144058,NW144057,10,343,Cured-in-Place,CIPP Lining,Install 6.00-mm thick cured-in-place (CIPP) in the existing 10.00-inch sanitary sewer by method of Cured-in-Place,,GSM_NW144058NW144057,"Medium (10–15"")",Long (>300 ft),False,True,6.0,,187.1
14948074,3201328,NW144059,NW144058,10,337,Pipe Bursting,Pipe Bursting,Install an 10.75 inch outside diameter polyethylene liner in the existing 10-inch sanitary sewer by method of pipe bursting,,GSM_NW144059NW144058,"Medium (10–15"")",Long (>300 ft),False,True,,10.75,183.8
14948073,3201327,NW144060,NW144059,8,264,Pipe Bursting,Pipe Bursting,Install an 8.625 inch outside diameter polyethylene liner in the existing 8-inch sanitary sewer by method of pipe bursting,CTV,GSM_NW144060NW144059,"Small (≤8"")",Medium (150–300 ft),False,True,,8.625,92.2
14948086,3201369,NW144061,NW144060,8,315,Pipe Bursting,Pipe Bursting,Install an 8.625 inch outside diameter polyethylene liner in the existing 8-inch sanitary sewer by method of pipe bursting,CTV,GSM_NW144061NW144060,"Small (≤8"")",Long (>300 ft),False,True,,8.625,110.0
